,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_frac,max_voltage,min_frac,min_instability,min_voltage,nsteps,numsites
122,4.15321094,73.9214815,242.349753,307.0115057,1006.529645,0.071428571,4.15321094,0.0,0.016486704,4.15321094,1,13
123,3.476576197,80.11177054,241.5949533,278.5146746,839.923264,0.115384615,3.476576197,0.041666667,0.036510459,3.476576197,1,23
124,2.65554736,174.8671638,569.499341,464.3680352,1512.332472,0.166666667,2.65554736,0.0,0.002021006,2.65554736,1,10
125,4.531091478,87.4335819,290.5642235,396.1695578,1316.573077,0.166666667,4.531091478,0.090909091,0.017169976,4.531091478,1,10
126,4.237752982,195.9518366,515.1276163,830.3954798,2182.983593,0.266666667,4.96435508,0.153846154,0.008476541,3.511150885,2,11
127,3.758837645,72.13497313,240.5594642,271.1436525,904.2239698,0.0625,3.758837645,0.0,0.0,3.758837645,1,15
128,3.716256029,191.7181545,588.4258862,712.4737475,2186.741247,0.153846154,5.486767375,0.0,0.03478072,3.12608558,2,22
129,4.011514172,310.6992436,920.7044435,1246.374419,3693.418923,0.227272727,5.132882131,0.0,0.0,2.691824827,3,17
130,4.89495218,141.4964737,409.7994639,692.6184722,2005.948779,0.115384615,4.89495218,0.0,0.032649713,4.89495218,1,23
131,2.84008209,61.51518972,202.0991214,174.7081886,573.978095,0.058823529,2.84008209,0.0,0.00131715,2.84008209,1,16
132,2.908635317,181.2654853,611.9708563,527.2351922,1780.000045,0.157894737,2.908635317,0.0,0.00164447,2.908635317,1,16
133,2.923095815,181.2654853,611.4968336,529.8563814,1787.463835,0.157894737,2.923095815,0.0,0.006250858,2.923095815,1,16
134,2.92480224,181.2654853,610.2915579,530.1656974,1784.982116,0.157894737,2.92480224,0.0,0.001435666,2.92480224,1,16
135,2.950462837,181.2654853,611.3821489,534.8170779,1803.860309,0.157894737,2.950462837,0.0,0.001050888,2.950462837,1,16
136,3.79360177,34.95715813,153.8945477,132.6135369,583.8146286,0.05,3.79360177,0.0,0.038501786,3.79360177,1,19
137,1.84794401,74.34431208,298.8123345,137.3841262,552.1884637,0.533333333,1.84794401,0.5,0.0,1.84794401,1,7
138,2.999048395,31.8384831,95.21846638,95.48515164,285.5647888,0.170731707,2.999048395,0.15,0.038393848,2.999048395,1,17
139,2.936094862,181.2654853,610.4680584,532.2126599,1792.392129,0.157894737,2.936094862,0.0,0.00530356,2.936094862,1,16
140,2.781101912,181.2654853,610.0882086,504.1177876,1696.717483,0.157894737,2.781101912,0.0,0.017845699,2.781101912,1,16
141,3.35952357,63.25686898,214.0442221,212.5129423,719.0866091,0.058823529,3.35952357,0.0,0.010999667,3.35952357,1,16
142,3.626531285,63.25686898,212.4887783,229.4030144,770.5972023,0.058823529,3.626531285,0.0,0.018967554,3.626531285,1,16
143,3.32269345,63.25686898,214.0584974,210.1831842,711.2507673,0.058823529,3.32269345,0.0,0.022954005,3.32269345,1,16
144,4.566994255,74.1610772,239.5205641,338.6932135,1093.88904,0.222222222,4.566994255,0.176470588,0.0661344,4.566994255,1,7
145,2.744481293,142.8355265,406.8335371,392.0094303,1116.547032,0.3,2.86060879,0.222222222,0.057846856,2.705772127,2,7
146,3.6112205,101.2707222,333.3662613,365.7109082,1203.859077,0.086956522,3.6112205,0.0,-8.88e-16,3.6112205,1,21
147,5.17029655,82.57455524,260.1035798,426.9349381,1344.812641,0.071428571,5.17029655,0.0,0.056088908,5.17029655,1,13
148,3.93853665,177.7560776,592.463986,700.0988262,2333.441123,0.145454545,3.93853665,0.0,0.036288946,3.93853665,1,47
149,3.02296611,60.44664943,202.9897672,182.7281727,613.6311868,0.055555556,3.02296611,0.0,0.033213799,3.02296611,1,17
150,3.420275433,186.3039002,651.0545288,637.2106531,2226.785811,0.157894737,3.420275433,0.0,0.008017837,3.420275433,1,16
151,2.58435745,121.9272144,410.6560835,315.1035049,1061.282109,0.111111111,2.58435745,0.0,0.00334148,2.58435745,1,8
152,3.887780649,219.9814973,645.133535,855.2398081,2508.137673,0.166666667,4.668105545,0.0,0.031489072,3.107455752,2,10
153,5.373015905,113.2157221,369.9339265,608.3098755,1987.660871,0.090909091,5.373015905,0.0,0.030088255,5.373015905,1,10
154,1.99124228,78.15392368,203.4461313,155.6233972,405.1105383,0.1,1.99124228,0.0,0.005357694,1.99124228,1,3
155,3.54664522,121.9272144,426.6679606,432.4325722,1513.239883,0.111111111,3.54664522,0.0,0.030927202,3.54664522,1,8
156,3.242452105,121.9272144,423.0557612,395.343153,1371.738043,0.111111111,3.242452105,0.0,0.038117399,3.242452105,1,8
157,3.309661523,125.3475169,428.3417385,414.8578536,1417.666171,0.111111111,3.309661523,0.0,0.008237893,3.309661523,1,8
158,3.37612074,125.3475169,427.3580848,423.1883514,1442.812494,0.111111111,3.37612074,0.0,0.02329632,3.37612074,1,8
159,3.338280733,125.3475169,428.7715582,418.4452005,1431.359832,0.111111111,3.338280733,0.0,0.016567502,3.338280733,1,8
160,3.340708265,87.65680355,319.8972552,292.8358081,1068.683404,0.083333333,3.340708265,0.0,0.060084784,3.340708265,1,11
161,3.573509505,109.9907486,294.7472314,393.0529857,1053.282033,0.166666667,3.573509505,0.090909091,0.052163431,3.573509505,1,10
162,3.979995321,219.9814973,645.7767073,875.5253299,2570.188273,0.166666667,3.979995321,0.0,0.02512946,3.979995321,1,10
163,2.805043715,79.64868383,277.8002497,223.41804,779.2418444,0.074074074,2.805043715,0.0,0.005225028,2.805043715,1,25
164,2.64599214,52.01796633,190.7954839,137.6391301,504.8433508,0.05,2.64599214,0.0,0.009495603,2.64599214,1,19
165,2.77253121,45.65221915,168.0641753,126.5722024,465.9631712,0.045454545,2.77253121,0.0,0.038472797,2.77253121,1,21
166,3.84130905,280.4657248,1296.844605,1077.355527,4981.580916,0.25,4.21966888,0.0,0.012604691,3.652129135,2,9
167,4.45452531,144.6098835,662.0720101,644.1683861,2949.216526,0.142857143,4.45452531,0.0,0.043272611,4.45452531,1,12
